,trapEmax,t90,t10,t50
11673,-47.372642861334235,1.0,0.0,0.0
11674,22.58695856477376,851.0,133.0,85.0
11675,-33.84919664722533,2.0,1.0,0.0
11676,33.55873214285708,839.0,139.0,110.0
11677,88.20105357142808,837.0,141.0,129.0
11678,0.5588109566372851,10486.0,7402.0,7401.0
11679,75.95130357142872,875.0,138.0,111.0
11680,9226.607607142849,14017.0,3670.0,3669.0
11681,8668.024291002586,15486.0,10531.0,10530.0
11682,10361.967625000018,7021.0,7020.0,7018.0
11683,1810.5066504497308,3521.0,3520.0,3516.0
11684,14199.886250000021,12023.0,7792.0,7777.0
11685,47.431089285714236,862.0,135.0,101.0
11686,11.323160714285823,732.0,66.0,19.0
11687,-26.373035714285987,2.0,1.0,0.0
11688,15.454699518101899,976.0,109.0,76.0
11689,-84.84592857142893,1.0,0.0,0.0
11690,-11.230342837251724,2.0,1.0,0.0
11691,99.21764285714283,828.0,128.0,86.0
11692,15.659964285714405,831.0,140.0,119.0
11693,-9.340749999999977,2.0,1.0,0.0
11694,20.168053571428548,814.0,105.0,104.0
11695,-1.0268928571428297,2.0,1.0,0.0
11696,8.811865160282514,662.0,73.0,37.0
11697,39.53617857142858,908.0,176.0,169.0
11698,-10.031061813912267,2.0,1.0,0.0
11699,38.7409107142857,915.0,126.0,106.0
11700,3.4808943915574106,1059.0,622.0,621.0
11701,-60.759946583605036,2.0,1.0,0.0
11702,36.7245383359111,920.0,154.0,117.0
11703,104.70571428571411,838.0,137.0,88.0
11704,6.457910714285643,846.0,82.0,42.0
11705,35.20878571428569,842.0,125.0,84.0
11706,22.498767857142646,864.0,124.0,84.0
11707,3.6122321386661946,744.0,501.0,472.0
11708,78.45763407465647,824.0,124.0,114.0
11709,-160.11733526437405,1.0,0.0,0.0
11710,-29.40557142857117,1.0,0.0,0.0
11711,73.79232142857094,812.0,129.0,82.0
11712,6.556696428571388,1028.0,266.0,240.0
11713,-39.154934751576185,2.0,1.0,0.0
11714,30.79669642438043,795.0,113.0,84.0
11715,63.842642857142565,827.0,129.0,101.0
11716,9226.607607142849,14017.0,3670.0,3669.0
11717,8668.024291002586,15486.0,10531.0,10530.0
11718,10361.967625000018,7021.0,7020.0,7018.0
11719,1810.5066504497308,3521.0,3520.0,3516.0
11720,14199.886250000021,12023.0,7792.0,7777.0
11721,-5.681232142857103,2.0,1.0,0.0
11722,83.61696824697353,800.0,107.0,59.0
11723,-61.65266071428621,2.0,1.0,0.0
11724,48.01255357142837,835.0,129.0,99.0
11725,59.150446424380384,851.0,117.0,76.0
11726,15.871945516267553,882.0,119.0,74.0
11727,23.19991993138556,918.0,158.0,90.0
11728,73.04733928571495,838.0,128.0,95.0
11729,-108.42853571428587,1.0,0.0,0.0
11730,24.972525779662,789.0,109.0,71.0
11731,-39.14678571428577,1.0,0.0,0.0
11732,-75.44250065323014,1.0,0.0,0.0
11733,-93.40276785714322,2.0,1.0,0.0
11734,13.793321428571417,857.0,258.0,257.0
11735,-18.883321428571318,2.0,1.0,0.0
11736,-75.56889285714325,2.0,1.0,0.0
11737,-94.80580357142856,1.0,0.0,0.0
11738,82.87741071428549,838.0,133.0,97.0
11739,-96.31017857142868,1.0,0.0,0.0
11740,-80.15314242981252,2.0,1.0,0.0
11741,0.14580644547740207,11675.0,11476.0,11475.0
11742,4.554970331288744,1233.0,609.0,472.0
11743,9.076160710094824,1442.0,750.0,690.0
11744,48.42724999999984,906.0,160.0,127.0
11745,21.33707142857151,846.0,129.0,127.0
11746,49.36893038907888,863.0,126.0,102.0
11747,-113.46338243319896,1.0,0.0,0.0
11748,-52.62186134925674,1.0,0.0,0.0
11749,18.12391643321861,803.0,121.0,86.0
11750,-42.94257018323462,2.0,1.0,0.0
11751,1876.8031428571433,9335.0,9333.0,9331.0
11752,9226.607607142849,14017.0,3670.0,3669.0
11753,8668.024291002586,15486.0,10531.0,10530.0
11754,10361.967625000018,7021.0,7020.0,7018.0
11755,1810.5066504497308,3521.0,3520.0,3516.0
11756,14199.886250000021,12023.0,7792.0,7777.0
11757,59.9858035714286,811.0,123.0,99.0
11758,-16.35855357142868,1.0,0.0,0.0
11759,97.68954948857325,845.0,134.0,98.0
11760,-131.00353571428462,1.0,0.0,0.0
11761,-39.45142857561877,1.0,0.0,0.0
11762,106.30437997095457,842.0,140.0,108.0
11763,39.692321428571354,923.0,175.0,121.0
11764,9226.607607142849,14017.0,3670.0,3669.0
11765,8668.024291002586,15486.0,10531.0,10530.0
11766,10361.967625000018,7021.0,7020.0,7018.0
